country_name,didi_score_equal,didi_rank_equal,didi_score_digital,didi_rank_digital,didi_score_equity,didi_rank_equity,cluster,cluster_name,year,internet_pct,gini,log_gdp,edu_spend_gdp,electricity_access,rank_range
Tajikistan,0.5463611365972201,53,0.3982260730396748,75,0.5680788216154813,44,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,48.91429901,39.5,8.34610973403503,5.39829770599001,100.0,31
Romania,0.5443511221367447,54,0.7589400561102843,41,0.554225404616656,49,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,85.50309124,32.3,10.577884768082816,3.2788200378418,100.0,13
Greece,0.539751282231464,55,0.7389159606278783,46,0.5458296583741351,52,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,83.17066333,33.4,10.48657832503267,3.37547993659973,100.0,9
Malaysia,0.5395618273559223,56,0.7910723432953686,31,0.471270571250602,64,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,97.3986404,40.7,10.377521230901891,3.49933781956284,100.0,33
North Macedonia,0.5320191462667729,57,0.7359769053058144,47,0.5396771310292291,54,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,83.85030365,33.5,10.03549463587821,3.30014991760254,100.0,10
Dominican Republic,0.5296327709891975,58,0.7129763690682624,51,0.513317770198933,58,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,81.51269675,37.0,10.042682294128982,3.61088872070271,98.1,7
Serbia,0.520070020138392,59,0.7323899895688308,48,0.5336270135376046,55,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,83.53825397,32.8,10.112611285853356,3.08255004882812,100.0,11
Colombia,0.5181808022192981,60,0.5947511363005838,68,0.4074657220432799,70,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,72.79637855,54.8,9.823292217794483,5.26166009902954,100.0,10
Mexico,0.5166290281650318,61,0.6727816495462328,59,0.4513417957488651,67,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,78.63217894,43.5,9.97076563183832,4.05987977981567,100.0,8
Albania,0.509969304620739,62,0.7220466529080146,50,0.5476281393736863,51,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,82.61367544,29.4,9.87245463067242,2.72977995872498,100.0,12
Peru,0.5057750147383616,63,0.6415164001666762,64,0.4760378259128396,62,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,74.67495213,40.3,9.652447335175944,3.83975005149841,96.2,2
Thailand,0.4903572958408879,64,0.7465997857602092,44,0.490161739723478,60,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,87.97724503,34.3,9.940917974644163,2.61187022798634,99.9,20
Armenia,0.4895146028138355,65,0.6740309063070601,58,0.5442011056714852,53,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,77.02767465,27.9,9.7917835364512,2.4918999671936,100.0,12
Philippines,0.4809972280597666,66,0.6345041003611362,66,0.4525710907077386,66,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,75.21114422,40.7,9.154521479238996,3.57960089528426,94.8,0
"Iran, Islamic Rep.",0.4743380806368799,67,0.6994996981385116,56,0.481801796433432,61,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,81.71649933,34.8,9.703691872524637,2.6699800491333,100.0,11
Viet Nam,0.4713700962960861,68,0.6713442119191928,60,0.4750084189374104,63,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,78.58999918,36.1,9.471146800955015,2.88738689372749,100.0,8
Turkiye,0.4584150028985284,69,0.6975063629525079,57,0.3799577524090384,74,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,83.43716576,44.5,10.419921752943475,3.09571003913879,100.0,17
Paraguay,0.4520132393914094,70,0.6359129201625706,65,0.3883703330954577,72,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,76.25916611,44.6,9.632934315799671,3.39619994163513,100.0,7
Honduras,0.4508851829003169,71,0.4466348848092715,74,0.3996730316262001,71,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,56.88069916,48.2,8.75661742651745,4.48280030802056,94.4,3
Ecuador,0.4427558026791315,72,0.5768490811142261,69,0.3837245759075152,73,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,69.71811356,45.5,9.560055874898769,3.61301994323731,100.0,4
El Salvador,0.4270666636847919,73,0.4944288732333877,73,0.4436627451420629,69,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,60.05609894,38.8,9.313403854143615,3.26848006248474,100.0,4
Panama,0.3966036831281344,74,0.5451333841020893,70,0.3054227844297115,76,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,67.2838974,50.9,10.43161717305065,3.37781000137329,95.0,6
Indonesia,0.3403776467499591,75,0.5395854399552263,71,0.3773975853197832,75,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,66.48461277,35.5,9.498092346592026,0.863943349575907,100.0,4
Pakistan,0.3134552214479419,76,0.1988465344365271,76,0.4484178724804854,68,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2021,18.935,29.6,8.588075357861873,1.68746129213991,94.9,8
